epoch,hhi_1,hhi_3,hhi_10
300,221,221,224
301,221,222,227
302,222,222,227
303,223,223,229
304,223,226,228
305,226,227,230
306,227,227,223
307,226,222,225
308,222,223,226
309,222,224,220
310,224,224,214
311,224,224,214
312,224,224,216
313,232,228,211
314,228,222,210
315,229,215,209
316,216,220,210
317,219,220,215
318,220,220,215
319,220,222,215
320,227,221,212
321,227,208,212
322,207,206,210
323,205,206,209
324,206,212,212
325,213,216,212
326,216,215,211
327,223,213,211
328,213,213,211
329,213,211,211
330,211,211,211
331,212,211,188
332,211,211,187
333,211,211,187
334,211,211,187
335,211,211,187
336,211,188,187
337,188,187,187
338,187,187,187
339,187,187,182
340,187,187,182
341,187,187,183
342,190,187,183
343,191,182,183
344,182,182,183
345,182,182,183
346,182,183,183
347,184,183,183
348,184,183,183
349,182,182,181
350,183,182,181
351,182,181,181
352,181,181,182
353,181,181,182
354,181,181,182
355,181,182,183
356,182,182,183
357,183,183,184
358,183,183,184
359,182,182,183
360,182,182,185
361,182,183,185
362,182,183,185
363,183,184,184
364,183,184,186
365,183,182,186
366,183,187,186
367,185,187,186
368,187,186,186
369,187,186,186
370,186,186,185
371,186,186,185
372,186,186,185
373,186,186,185
374,186,186,185
375,185,186,186
376,185,185,186
377,186,185,186
378,185,185,186
379,185,186,186
380,185,186,186
381,185,185,181
382,181,180,181
383,180,180,180
384,179,179,180
385,179,179,177
386,177,177,178
387,179,177,178
388,177,177,178
389,177,177,178
390,177,177,175
391,177,177,175
392,177,178,175
393,177,178,180
394,178,183,178
395,183,178,178
396,182,177,156
397,177,179,157
398,182,178,157
399,178,178,157
400,156,156,138
401,155,156,138
402,156,157,126
403,156,157,126
404,157,143,111
405,143,143,98
406,126,126,88
407,126,111,80
408,111,98,80
409,98,98,74
410,98,87,74
411,87,79,74
412,87,72,74
413,72,71,74
414,67,70,74
415,70,73,74
416,80,80,74
417,80,80,74
418,80,80,74
419,80,80,74
